"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","386.04","351.96","386.04","351.63","44.61M","10.02%"
"10/01/2023","350.87","358.27","371.27","343.66","47.03M","-2.07%"
"09/01/2023","358.27","380.40","380.83","351.36","960.07M","-5.22%"
"08/01/2023","377.99","382.31","383.56","354.71","1.20B","-1.48%"
"07/01/2023","383.68","370.07","387.98","363.41","974.89M","3.86%"
"06/01/2023","369.42","347.73","372.85","346.66","1.14B","6.16%"
"05/01/2023","347.99","322.09","353.93","315.11","1.15B","7.88%"
"04/01/2023","322.56","318.77","322.65","309.89","993.55M","0.51%"
"03/01/2023","320.93","293.26","321.17","285.19","1.55B","9.32%"
"02/01/2023","293.56","294.41","313.68","290.05","1.09B","-0.36%"
"01/01/2023","294.62","268.65","298.26","260.34","961.93M","10.64%"
"12/01/2022","266.28","293.69","296.88","259.73","1.06B","-9.23%"
"11/01/2022","293.36","281.49","293.47","259.08","1.20B","5.54%"
"10/01/2022","277.95","269.07","284.60","254.26","1.36B","4.00%"
"09/01/2022","267.26","296.72","311.08","267.10","1.37B","-10.70%"
"08/01/2022","299.27","313.65","334.42","298.44","1.07B","-5.13%"
"07/01/2022","315.46","278.95","316.39","276.75","1.18B","12.55%"
"06/01/2022","280.28","310.47","314.56","269.28","1.36B","-9.08%"
"05/01/2022","308.28","312.83","330.29","280.21","1.95B","-1.59%"
"04/01/2022","313.25","362.81","369.31","312.60","1.50B","-13.60%"
"03/01/2022","362.54","345.75","371.83","317.45","1.69B","4.54%"
"02/01/2022","346.80","364.43","370.10","318.26","1.52B","-4.48%"
"01/01/2022","363.05","399.05","402.28","334.15","1.85B","-8.75%"
"12/01/2021","397.85","398.28","404.58","377.47","1.23B","1.02%"
"11/01/2021","393.82","386.56","408.71","384.42","922.24M","2.00%"
"10/01/2021","386.11","358.60","386.28","350.32","878.75M","7.86%"
"09/01/2021","357.96","381.04","382.78","357.10","931.92M","-5.79%"
"08/01/2021","379.95","366.28","380.76","359.96","683.69M","4.22%"
"07/01/2021","364.57","354.07","368.89","352.04","813.29M","2.86%"
"06/01/2021","354.43","335.30","355.23","328.28","751.29M","6.14%"
"05/01/2021","333.93","339.23","340.00","316.00","965.41M","-1.20%"
"04/01/2021","337.99","323.07","342.80","322.81","771.17M","5.91%"
"03/01/2021","319.13","319.27","324.33","297.45","1.62B","1.59%"
"02/01/2021","314.14","318.11","338.19","310.88","795.58M","-0.13%"
"01/01/2021","314.56","315.11","330.32","305.18","655.57M","0.26%"
"12/01/2020","313.74","301.87","314.68","298.09","570.28M","4.71%"
"11/01/2020","299.62","271.73","300.17","266.97","751.82M","11.23%"
"10/01/2020","269.38","281.79","297.46","267.07","937.16M","-3.04%"
"09/01/2020","277.84","297.60","303.50","260.11","1.33B","-5.78%"
"08/01/2020","294.88","268.05","296.74","264.63","701.61M","10.94%"
"07/01/2020","265.79","247.66","269.79","247.08","925.20M","7.35%"
"06/01/2020","247.60","232.40","251.15","231.47","928.72M","6.10%"
"05/01/2020","233.36","214.54","233.60","211.12","847.31M","6.60%"
"04/01/2020","218.91","184.81","220.04","180.86","1.09B","14.97%"
"03/01/2020","190.40","208.88","219.61","164.93","2.19B","-7.48%"
"02/01/2020","205.80","220.14","237.47","198.17","954.56M","-6.06%"
"01/01/2020","219.07","214.40","225.88","212.24","587.17M","3.04%"
"12/01/2019","212.61","205.11","214.56","193.79","431.20M","3.66%"
"11/01/2019","205.10","197.93","206.05","197.63","352.36M","4.07%"
"10/01/2019","197.08","189.54","197.83","181.82","585.00M","4.38%"
"09/01/2019","188.81","186.26","194.71","185.03","556.69M","0.71%"
