"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","70.64","70.65","70.70","70.49","5.66M","0.14%"
"11/16/2023","70.54","70.41","70.61","70.41","5.62M","0.60%"
"11/15/2023","70.12","70.22","70.24","70.03","6.79M","-0.55%"
"11/14/2023","70.51","70.49","70.57","70.39","8.23M","1.22%"
"11/13/2023","69.66","69.42","69.68","69.36","6.06M","-0.03%"
"11/10/2023","69.68","69.86","69.87","69.62","4.38M","0.19%"
"11/09/2023","69.55","70.00","70.04","69.52","6.98M","-0.74%"
"11/08/2023","70.07","69.88","70.15","69.87","6.54M","0.31%"
"11/07/2023","69.85","69.68","69.99","69.65","7.99M","0.50%"
"11/06/2023","69.50","69.63","69.67","69.44","7.81M","-0.43%"
"11/03/2023","69.80","70.03","70.17","69.79","8.00M","0.60%"
"11/02/2023","69.39","69.43","69.50","69.22","8.41M","0.57%"
"11/01/2023","68.99","68.48","69.00","68.45","9.33M","0.67%"
"10/31/2023","68.53","68.64","68.75","68.51","9.24M","-0.03%"
"10/30/2023","68.55","68.50","68.64","68.39","5.91M","-0.24%"
"10/27/2023","68.71","68.67","68.72","68.52","5.33M","-0.01%"
"10/26/2023","68.72","68.35","68.73","68.34","11.42M","0.67%"
"10/25/2023","68.26","68.50","68.51","68.20","7.39M","-0.76%"
"10/24/2023","68.78","68.59","68.79","68.48","9.46M","0.34%"
"10/23/2023","68.55","68.08","68.65","67.99","9.58M","0.39%"
"10/20/2023","68.29","68.22","68.38","68.19","5.20M","0.36%"
"10/19/2023","68.04","68.27","68.41","68.00","9.42M","-0.44%"
"10/18/2023","68.34","68.50","68.55","68.23","5.86M","-0.43%"
"10/17/2023","68.64","68.68","68.76","68.52","5.83M","-0.66%"
"10/16/2023","69.09","69.26","69.26","69.06","4.87M","-0.52%"
"10/13/2023","69.45","69.53","69.56","69.35","5.57M","0.46%"
"10/12/2023","69.13","69.59","69.61","69.07","6.14M","-0.86%"
"10/11/2023","69.73","69.63","69.74","69.52","18.04M","0.46%"
"10/10/2023","69.41","69.23","69.56","69.14","11.56M","-0.10%"
"10/09/2023","69.48","69.07","69.48","69.06","3.56M","1.02%"
"10/06/2023","68.78","68.54","68.93","68.49","8.39M","-0.39%"
"10/05/2023","69.05","69.13","69.15","68.97","6.63M","0.07%"
"10/04/2023","69.00","68.83","69.03","68.66","7.92M","0.66%"
