"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","45.50","42.36","45.52","42.26","9.36M","7.72%"
"10/01/2023","42.24","43.45","44.19","41.48","13.69M","-3.39%"
"09/01/2023","43.72","46.17","46.21","43.22","203.30M","-4.44%"
"08/01/2023","45.75","47.23","47.35","44.27","226.07M","-3.95%"
"07/01/2023","47.63","46.22","47.81","44.71","167.41M","3.14%"
"06/01/2023","46.18","44.87","47.55","44.84","193.02M","3.47%"
"05/01/2023","44.63","46.42","46.73","44.32","203.73M","-3.73%"
"04/01/2023","46.36","45.26","46.57","45.02","172.69M","2.63%"
"03/01/2023","45.17","44.56","45.24","42.02","259.58M","2.26%"
"02/01/2023","44.17","45.75","46.37","43.81","178.76M","-3.47%"
"01/01/2023","45.76","42.40","45.96","42.03","253.00M","9.03%"
"12/01/2022","41.97","43.89","44.39","41.54","310.85M","-3.32%"
"11/01/2022","43.41","39.39","43.55","37.76","356.18M","12.55%"
"10/01/2022","38.57","36.77","39.15","35.42","489.21M","6.08%"
"09/01/2022","36.36","39.91","41.63","35.97","467.40M","-10.13%"
"08/01/2022","40.46","42.93","43.74","40.45","303.70M","-5.82%"
"07/01/2022","42.96","40.28","42.98","38.82","351.38M","5.29%"
"06/01/2022","40.80","45.76","46.05","40.01","396.25M","-10.35%"
"05/01/2022","45.51","44.58","45.85","41.98","483.36M","1.65%"
"04/01/2022","44.77","48.33","48.70","44.35","382.05M","-6.79%"
"03/01/2022","48.03","47.58","49.06","43.92","584.68M","0.50%"
"02/01/2022","47.79","49.40","50.53","46.09","381.80M","-2.65%"
"01/01/2022","49.09","51.31","51.92","47.59","407.82M","-3.86%"
"12/01/2021","51.06","50.43","51.55","49.11","380.65M","2.74%"
"11/01/2021","49.70","52.40","53.04","49.28","201.83M","-4.64%"
"10/01/2021","52.12","50.50","52.54","49.45","149.13M","3.23%"
"09/01/2021","50.49","52.85","53.49","50.37","173.12M","-3.76%"
"08/01/2021","52.46","52.20","52.84","51.00","134.71M","1.31%"
"07/01/2021","51.78","51.50","52.22","49.81","162.61M","0.50%"
"06/01/2021","51.52","52.92","53.43","51.32","152.24M","-1.72%"
"05/01/2021","52.42","51.00","52.61","50.19","153.85M","3.58%"
"04/01/2021","50.61","49.43","51.48","49.37","199.54M","3.05%"
"03/01/2021","49.11","48.63","50.14","47.75","223.78M","2.29%"
"02/01/2021","48.01","47.51","50.10","47.28","172.12M","2.43%"
"01/01/2021","46.87","48.12","49.18","46.65","213.10M","-0.72%"
"12/01/2020","47.21","45.84","47.82","45.60","169.02M","4.70%"
"11/01/2020","45.09","39.89","46.02","39.66","162.54M","14.30%"
"10/01/2020","39.45","41.10","42.50","39.13","176.53M","-3.55%"
"09/01/2020","40.90","41.90","42.54","39.81","204.26M","-2.32%"
"08/01/2020","41.87","40.17","42.33","40.08","183.58M","5.17%"
"07/01/2020","39.81","38.73","41.22","38.72","184.24M","2.63%"
"06/01/2020","38.79","37.96","40.87","37.79","308.92M","2.97%"
"05/01/2020","37.67","35.05","38.13","34.12","326.39M","5.58%"
"04/01/2020","35.68","32.24","36.53","31.59","549.29M","7.02%"
"03/01/2020","33.34","39.37","40.81","28.46","1.04B","-15.53%"
"02/01/2020","39.47","42.86","44.32","38.45","285.10M","-7.65%"
"01/01/2020","42.74","44.35","44.67","42.61","189.15M","-3.00%"
"12/01/2019","44.06","42.96","44.47","42.27","163.21M","2.54%"
"11/01/2019","42.97","42.67","43.31","42.63","125.82M","1.34%"
"10/01/2019","42.40","40.99","42.50","39.74","200.16M","3.21%"
"09/01/2019","41.08","39.82","41.91","39.77","174.01M","2.47%"
"08/01/2019","40.09","40.86","41.22","38.79","231.06M","-1.88%"
"07/01/2019","40.86","42.11","42.28","40.56","137.76M","-2.04%"
"06/01/2019","41.71","39.92","41.78","39.83","157.63M","4.69%"
"05/01/2019","39.84","42.09","42.14","39.61","201.20M","-5.21%"
"04/01/2019","42.03","41.25","42.21","41.20","152.27M","2.84%"
"03/01/2019","40.87","41.07","41.73","39.99","187.44M","0.17%"
"02/01/2019","40.80","39.83","41.21","39.14","192.66M","2.33%"
