"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","40.39","37.89","40.85","37.84","8.54M","6.46%"
"10/01/2023","37.94","39.21","39.76","37.46","10.63M","-3.24%"
"09/01/2023","39.21","41.07","41.16","38.87","185.39M","-3.26%"
"08/01/2023","40.53","42.65","42.70","39.63","202.94M","-5.90%"
"07/01/2023","43.07","41.10","43.10","39.96","149.64M","5.88%"
"06/01/2023","40.68","39.13","42.15","39.11","187.46M","4.17%"
"05/01/2023","39.05","40.08","40.63","38.73","291.82M","-2.96%"
"04/01/2023","40.24","40.44","40.95","39.18","151.97M","-0.40%"
"03/01/2023","40.40","40.31","40.83","38.11","233.44M","2.49%"
"02/01/2023","39.42","42.35","42.79","39.31","222.36M","-6.65%"
"01/01/2023","42.23","39.48","43.22","39.29","237.55M","8.34%"
"12/01/2022","38.98","40.62","40.92","38.53","322.34M","-3.80%"
"11/01/2022","40.52","36.29","40.65","35.56","299.45M","14.30%"
"10/01/2022","35.45","36.78","38.28","34.88","344.92M","-2.85%"
"09/01/2022","36.49","40.88","41.66","36.21","319.79M","-11.28%"
"08/01/2022","41.13","41.03","42.69","40.59","229.91M","-0.46%"
"07/01/2022","41.32","41.22","41.78","39.57","276.56M","-0.79%"
"06/01/2022","41.65","43.86","44.28","40.94","288.09M","-4.56%"
"05/01/2022","43.64","43.23","44.17","40.02","412.43M","0.46%"
"04/01/2022","43.44","47.07","47.92","42.24","400.36M","-5.83%"
"03/01/2022","46.13","47.51","47.91","41.97","518.88M","-3.53%"
"02/01/2022","47.82","49.85","50.99","46.15","306.25M","-3.72%"
"01/01/2022","49.67","49.67","51.26","47.54","369.02M","0.42%"
"12/01/2021","49.46","49.82","50.48","47.49","377.59M","0.55%"
"11/01/2021","49.19","50.70","52.21","48.72","226.69M","-2.90%"
"10/01/2021","50.66","50.10","52.42","49.05","194.66M","1.30%"
"09/01/2021","50.01","52.51","53.44","49.16","257.48M","-4.25%"
"08/01/2021","52.23","51.56","52.35","48.90","214.42M","2.19%"
"07/01/2021","51.11","54.31","54.41","49.27","198.99M","-5.89%"
"06/01/2021","54.31","55.10","55.16","53.01","179.21M","0.80%"
"05/01/2021","53.88","52.92","53.98","50.69","160.63M","1.70%"
"04/01/2021","52.98","52.80","54.18","51.60","170.66M","1.79%"
"03/01/2021","52.05","53.60","54.04","50.32","306.74M","-0.84%"
"02/01/2021","52.49","52.75","56.66","52.23","171.87M","1.57%"
"01/01/2021","51.68","50.90","54.56","50.21","251.81M","3.13%"
"12/01/2020","50.11","48.43","50.49","48.18","213.31M","5.36%"
"11/01/2020","47.56","44.26","48.86","44.00","205.48M","8.56%"
"10/01/2020","43.81","43.56","45.43","42.93","236.50M","1.32%"
"09/01/2020","43.24","44.70","45.11","41.53","268.42M","-2.15%"
"08/01/2020","44.19","43.19","45.17","43.08","193.61M","2.74%"
"07/01/2020","43.01","39.96","43.85","39.95","240.82M","8.58%"
"06/01/2020","39.61","37.74","40.72","37.65","295.79M","6.02%"
"05/01/2020","37.36","35.31","37.49","34.84","307.31M","3.29%"
"04/01/2020","36.17","32.70","36.89","32.26","455.16M","7.81%"
"03/01/2020","33.55","40.50","41.97","29.95","868.65M","-17.20%"
"02/01/2020","40.52","42.06","44.37","39.22","320.85M","-3.55%"
"01/01/2020","42.01","45.07","45.92","41.77","295.60M","-5.53%"
"12/01/2019","44.47","42.15","44.76","41.55","214.75M","5.73%"
"11/01/2019","42.06","42.31","43.39","41.82","216.16M","0.50%"
"10/01/2019","41.85","40.26","42.35","39.61","293.26M","3.95%"
"09/01/2019","40.26","40.00","42.28","39.95","261.02M","-0.35%"
"08/01/2019","40.40","41.80","42.10","38.98","291.08M","-3.26%"
"07/01/2019","41.76","43.35","43.43","41.32","221.23M","-1.81%"
"06/01/2019","42.53","40.85","42.81","40.40","259.74M","4.65%"
"05/01/2019","40.64","43.50","43.83","39.57","341.79M","-6.38%"
"04/01/2019","43.41","43.06","44.19","42.86","216.42M","2.14%"
"03/01/2019","42.50","41.88","43.44","40.91","322.98M","2.11%"
"02/01/2019","41.62","41.56","42.58","40.51","302.23M","-0.38%"
"01/01/2019","41.78","37.77","41.82","37.52","387.26M","9.66%"
"12/01/2018","38.10","40.69","40.75","37.18","576.80M","-4.01%"
"11/01/2018","39.69","38.46","40.14","37.84","394.80M","4.83%"
"10/01/2018","37.86","41.23","41.24","36.35","482.82M","-7.66%"
"09/01/2018","41.00","41.24","41.93","39.47","263.32M","-2.47%"
"08/01/2018","42.04","43.52","43.74","40.33","307.65M","-4.19%"
"07/01/2018","43.88","41.57","44.14","41.42","255.00M","3.98%"
"06/01/2018","42.20","44.83","45.83","41.03","314.90M","-5.40%"
"05/01/2018","44.61","45.39","46.58","43.96","251.21M","-2.34%"
"04/01/2018","45.68","46.74","47.20","45.02","227.51M","-2.77%"
"03/01/2018","46.98","47.57","48.87","45.82","272.60M","-0.40%"
"02/01/2018","47.17","49.56","49.75","44.34","401.82M","-5.36%"
"01/01/2018","49.84","46.53","50.99","46.45","291.20M","8.56%"
