"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","91.67","91.68","91.68","91.67","6.65M","0.01%"
"11/16/2023","91.66","91.66","91.67","91.66","7.77M","0.04%"
"11/15/2023","91.62","91.63","91.63","91.62","10.50M","0.02%"
"11/14/2023","91.60","91.60","91.61","91.60","11.09M","0.01%"
"11/13/2023","91.59","91.59","91.60","91.59","6.13M","0.01%"
"11/10/2023","91.58","91.58","91.59","91.58","5.57M","0.01%"
"11/09/2023","91.57","91.56","91.57","91.56","11.87M","0.05%"
"11/08/2023","91.52","91.53","91.53","91.52","9.16M","0.01%"
"11/07/2023","91.51","91.51","91.52","91.51","6.87M","0.02%"
"11/06/2023","91.49","91.50","91.50","91.49","28.00M","0.01%"
"11/03/2023","91.48","91.48","91.49","91.48","13.72M","0.01%"
"11/02/2023","91.47","91.47","91.48","91.47","11.92M","0.03%"
"11/01/2023","91.44","91.44","91.44","91.43","25.79M","-0.41%"
"10/31/2023","91.82","91.82","91.83","91.82","16.72M","0.00%"
"10/30/2023","91.82","91.81","91.82","91.81","25.12M","0.01%"
"10/27/2023","91.81","91.80","91.82","91.80","28.35M","0.03%"
"10/26/2023","91.78","91.79","91.79","91.78","9.84M","0.04%"
"10/25/2023","91.74","91.75","91.75","91.74","12.38M","0.01%"
"10/24/2023","91.73","91.74","91.74","91.73","12.51M","0.01%"
"10/23/2023","91.72","91.73","91.73","91.72","14.30M","0.01%"
"10/20/2023","91.71","91.71","91.71","91.70","4.89M","0.02%"
"10/19/2023","91.69","91.69","91.70","91.69","4.53M","0.04%"
"10/18/2023","91.65","91.65","91.66","91.65","6.04M","0.01%"
"10/17/2023","91.64","91.64","91.65","91.64","5.33M","0.01%"
"10/16/2023","91.63","91.64","91.64","91.62","8.17M","0.01%"
"10/13/2023","91.62","91.61","91.62","91.61","15.04M","0.02%"
"10/12/2023","91.60","91.60","91.60","91.59","7.53M","0.04%"
"10/11/2023","91.56","91.55","91.56","91.55","6.76M","0.02%"
"10/10/2023","91.54","91.55","91.56","91.54","8.36M","0.00%"
"10/09/2023","91.54","91.54","91.55","91.53","5.97M","0.01%"
"10/06/2023","91.53","91.54","91.54","91.53","9.86M","0.00%"
"10/05/2023","91.53","91.52","91.53","91.52","8.27M","0.07%"
"10/04/2023","91.47","91.46","91.47","91.46","26.54M","0.01%"
"10/03/2023","91.46","91.46","91.46","91.45","10.56M","0.02%"
"10/02/2023","91.44","91.45","91.45","91.44","22.51M","-0.41%"
"09/29/2023","91.82","91.82","91.83","91.82","9.08M","0.01%"
"09/28/2023","91.81","91.80","91.82","91.80","8.23M","0.03%"
"09/27/2023","91.78","91.78","91.78","91.76","7.44M","0.03%"
"09/26/2023","91.75","91.75","91.76","91.75","7.08M","0.01%"
"09/25/2023","91.74","91.75","91.75","91.74","7.47M","0.01%"
"09/22/2023","91.73","91.73","91.74","91.73","15.68M","0.01%"
"09/21/2023","91.72","91.71","91.72","91.71","7.52M","0.05%"
"09/20/2023","91.67","91.67","91.68","91.67","5.90M","0.01%"
"09/19/2023","91.66","91.66","91.67","91.66","4.34M","0.01%"
"09/18/2023","91.65","91.66","91.66","91.65","7.37M","0.01%"
"09/15/2023","91.64","91.64","91.64","91.63","4.69M","0.02%"
"09/14/2023","91.62","91.62","91.63","91.62","4.18M","0.03%"
"09/13/2023","91.59","91.58","91.59","91.58","4.67M","0.01%"
"09/12/2023","91.58","91.57","91.58","91.57","9.92M","0.03%"
"09/11/2023","91.55","91.57","91.57","91.55","8.02M","0.00%"
"09/08/2023","91.55","91.54","91.55","91.54","6.42M","0.01%"
"09/07/2023","91.54","91.53","91.54","91.53","6.76M","0.05%"
"09/06/2023","91.49","91.50","91.50","91.49","6.51M","0.00%"
"09/05/2023","91.49","91.49","91.49","91.48","8.07M","0.02%"
"09/01/2023","91.47","91.47","91.47","91.46","21.54M","-0.42%"
"08/31/2023","91.86","91.85","91.86","91.85","7.68M","0.07%"
"08/30/2023","91.80","91.80","91.81","91.79","6.28M","0.02%"
"08/29/2023","91.78","91.80","91.80","91.78","9.06M","-0.01%"
"08/28/2023","91.79","91.78","91.79","91.78","4.20M","0.02%"
"08/25/2023","91.77","91.76","91.77","91.76","4.88M","0.02%"
"08/24/2023","91.75","91.75","91.76","91.75","6.73M","0.03%"
"08/23/2023","91.72","91.71","91.72","91.71","9.46M","0.02%"
"08/22/2023","91.70","91.71","91.71","91.70","5.75M","0.01%"
"08/21/2023","91.69","91.69","91.69","91.68","5.95M","0.01%"
"08/18/2023","91.68","91.68","91.68","91.67","6.77M","0.01%"
"08/17/2023","91.67","91.66","91.67","91.66","5.61M","0.04%"
"08/16/2023","91.63","91.62","91.63","91.62","7.78M","0.02%"
"08/15/2023","91.61","91.60","91.61","91.60","4.83M","0.01%"
