"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","14.37","14.22","14.39","14.21","4.43M","1.55%"
"11/16/2023","14.15","14.33","14.33","14.12","5.95M","-2.41%"
"11/15/2023","14.50","14.52","14.60","14.49","2.57M","-0.55%"
"11/14/2023","14.58","14.65","14.74","14.56","4.05M","-0.14%"
"11/13/2023","14.60","14.41","14.62","14.41","8.61M","1.39%"
"11/10/2023","14.40","14.40","14.45","14.37","2.15M","0.35%"
"11/09/2023","14.35","14.39","14.49","14.34","3.34M","-0.07%"
"11/08/2023","14.36","14.48","14.53","14.32","3.67M","-1.17%"
"11/07/2023","14.53","14.64","14.64","14.50","4.17M","-2.22%"
"11/06/2023","14.86","14.90","14.94","14.84","3.48M","0.47%"
"11/03/2023","14.79","14.80","14.90","14.74","3.04M","-0.47%"
"11/02/2023","14.86","14.75","14.86","14.70","4.29M","1.09%"
"11/01/2023","14.70","14.84","14.88","14.65","10.22M","0.14%"
"10/31/2023","14.68","14.77","14.84","14.64","6.37M","-0.47%"
"10/30/2023","14.75","14.89","14.92","14.69","2.53M","-1.60%"
"10/27/2023","14.99","14.88","15.00","14.81","3.00M","1.42%"
"10/26/2023","14.78","14.80","14.87","14.75","3.09M","-1.00%"
"10/25/2023","14.93","14.84","14.95","14.67","2.52M","0.74%"
"10/24/2023","14.82","14.86","14.89","14.73","2.23M","-0.94%"
"10/23/2023","14.96","15.04","15.07","14.93","5.27M","-0.60%"
"10/20/2023","15.05","15.15","15.22","15.03","5.31M","-0.79%"
"10/19/2023","15.17","14.96","15.17","14.91","6.70M","0.93%"
"10/18/2023","15.03","14.99","15.06","14.96","4.09M","0.94%"
"10/17/2023","14.89","14.80","14.89","14.77","2.18M","0.27%"
"10/16/2023","14.85","14.86","14.87","14.78","5.37M","-0.13%"
"10/13/2023","14.87","14.75","14.89","14.73","1.91M","2.55%"
"10/12/2023","14.50","14.58","14.58","14.43","4.34M","-0.21%"
"10/11/2023","14.53","14.56","14.58","14.42","7.38M","-0.62%"
"10/10/2023","14.62","14.59","14.63","14.52","11.78M","0.07%"
"10/09/2023","14.61","14.54","14.63","14.49","3.33M","2.03%"
"10/06/2023","14.32","14.35","14.38","14.26","5.15M","0.21%"
"10/05/2023","14.29","14.24","14.33","14.20","5.97M","-0.49%"
"10/04/2023","14.36","14.62","14.62","14.31","2.93M","-2.84%"
"10/03/2023","14.78","14.81","14.83","14.72","3.74M","-0.47%"
"10/02/2023","14.85","14.95","14.96","14.82","10.43M","-0.67%"
"09/29/2023","14.95","15.17","15.17","14.93","16.67M","-1.12%"
"09/28/2023","15.12","15.13","15.19","15.08","3.53M","-0.07%"
"09/27/2023","15.13","15.10","15.19","15.10","3.42M","0.53%"
"09/26/2023","15.05","14.99","15.06","14.98","4.95M","0.00%"
"09/25/2023","15.05","15.09","15.09","14.98","3.06M","-0.40%"
"09/22/2023","15.11","15.22","15.24","15.08","1.88M","-0.07%"
"09/21/2023","15.12","15.19","15.23","15.12","1.77M","-0.40%"
"09/20/2023","15.18","15.22","15.33","15.18","1.60M","-0.72%"
"09/19/2023","15.29","15.34","15.35","15.26","1.51M","-0.13%"
"09/18/2023","15.31","15.35","15.35","15.25","2.62M","0.13%"
"09/15/2023","15.29","15.27","15.34","15.26","1.75M","-0.33%"
"09/14/2023","15.34","15.28","15.35","15.28","1.96M","0.85%"
"09/13/2023","15.21","15.19","15.23","15.14","4.55M","0.20%"
"09/12/2023","15.18","15.16","15.21","15.14","10.18M","0.53%"
"09/11/2023","15.10","15.13","15.16","15.07","4.77M","0.47%"
"09/08/2023","15.03","15.01","15.05","14.96","1.76M","0.27%"
"09/07/2023","14.99","14.99","15.02","14.94","2.41M","-0.13%"
"09/06/2023","15.01","14.95","15.04","14.92","2.62M","0.13%"
"09/05/2023","14.99","15.00","15.07","14.96","6.87M","0.40%"
"09/01/2023","14.93","14.89","14.93","14.85","6.65M","1.22%"
"08/31/2023","14.75","14.74","14.78","14.68","3.71M","0.34%"
"08/30/2023","14.70","14.74","14.77","14.66","2.48M","0.27%"
"08/29/2023","14.66","14.61","14.69","14.56","2.64M","0.27%"
"08/28/2023","14.62","14.63","14.69","14.57","3.86M","-0.07%"
"08/25/2023","14.63","14.61","14.66","14.48","1.96M","0.97%"
"08/24/2023","14.49","14.42","14.53","14.38","1.35M","0.00%"
"08/23/2023","14.49","14.40","14.54","14.37","1.65M","0.28%"
"08/22/2023","14.45","14.51","14.53","14.43","1.68M","0.00%"
"08/21/2023","14.45","14.56","14.59","14.43","2.91M","-0.34%"
"08/18/2023","14.50","14.41","14.51","14.40","1.53M","0.83%"
"08/17/2023","14.38","14.48","14.50","14.38","2.62M","0.21%"
"08/16/2023","14.35","14.46","14.51","14.33","2.32M","-0.42%"
"08/15/2023","14.41","14.52","14.53","14.38","1.78M","-1.10%"
"08/14/2023","14.57","14.58","14.61","14.51","2.27M","-0.61%"
"08/11/2023","14.66","14.65","14.74","14.63","1.26M","-0.07%"
"08/10/2023","14.67","14.73","14.77","14.65","4.53M","-0.54%"
"08/09/2023","14.75","14.74","14.80","14.68","2.40M","0.61%"
"08/08/2023","14.66","14.46","14.69","14.41","5.37M","0.00%"
"08/07/2023","14.66","14.68","14.68","14.58","4.77M","-0.03%"
"08/04/2023","14.66","14.65","14.73","14.61","1.65M","0.31%"
"08/03/2023","14.62","14.51","14.66","14.49","2.59M","0.83%"
"08/02/2023","14.50","14.69","14.69","14.45","3.53M","-1.49%"
"08/01/2023","14.72","14.71","14.76","14.67","5.78M","-0.47%"
"07/31/2023","14.79","14.74","14.86","14.72","6.26M","0.34%"
"07/28/2023","14.74","14.67","14.77","14.60","2.72M","0.41%"
"07/27/2023","14.68","14.69","14.74","14.62","5.06M","-0.14%"
"07/26/2023","14.70","14.70","14.73","14.65","1.73M","-0.54%"
"07/25/2023","14.78","14.67","14.79","14.65","2.81M","0.48%"
"07/24/2023","14.71","14.54","14.75","14.52","2.45M","1.73%"
"07/21/2023","14.46","14.37","14.47","14.37","1.72M","0.63%"
"07/20/2023","14.37","14.42","14.45","14.29","3.24M","0.42%"
"07/19/2023","14.31","14.35","14.42","14.29","5.37M","0.49%"
"07/18/2023","14.24","14.10","14.28","14.10","3.00M","1.35%"
"07/17/2023","14.05","14.10","14.13","14.05","4.08M","-1.06%"
"07/14/2023","14.20","14.27","14.28","14.17","1.61M","-0.70%"
"07/13/2023","14.30","14.12","14.30","14.10","2.41M","1.42%"
"07/12/2023","14.10","14.10","14.16","14.04","4.45M","0.79%"
"07/11/2023","13.99","13.89","13.99","13.87","1.58M","1.23%"
"07/10/2023","13.82","13.80","13.86","13.77","1.11M","0.22%"
"07/07/2023","13.79","13.67","13.82","13.66","1.50M","0.73%"
"07/06/2023","13.69","13.68","13.69","13.52","2.90M","-0.07%"
"07/05/2023","13.70","13.75","13.77","13.65","1.15M","0.59%"
"07/03/2023","13.62","13.65","13.71","13.60","1.52M","0.11%"
"06/30/2023","13.60","13.56","13.72","13.55","2.64M","0.78%"
"06/29/2023","13.50","13.44","13.56","13.43","2.13M","0.07%"
"06/28/2023","13.49","13.44","13.55","13.39","2.32M","-0.37%"
"06/27/2023","13.54","13.67","13.71","13.51","1.88M","-1.60%"
"06/26/2023","13.76","13.73","13.84","13.72","4.15M","0.15%"
"06/23/2023","13.74","13.64","13.74","13.63","1.79M","-1.08%"
"06/22/2023","13.89","13.94","13.98","13.83","3.18M","-1.98%"
"06/21/2023","14.17","13.97","14.17","13.94","1.48M","1.36%"
"06/20/2023","13.98","13.97","13.98","13.84","7.22M","-0.85%"
"06/16/2023","14.10","13.97","14.11","13.97","11.20M","1.37%"
"06/15/2023","13.91","13.69","13.93","13.69","2.06M","2.20%"
"06/14/2023","13.61","13.68","13.72","13.55","2.33M","0.22%"
"06/13/2023","13.58","13.64","13.67","13.57","3.67M","1.27%"
"06/12/2023","13.41","13.45","13.49","13.35","1.82M","-1.40%"
"06/09/2023","13.60","13.67","13.75","13.58","5.43M","-0.44%"
"06/08/2023","13.66","13.70","13.72","13.48","1.61M","0.07%"
"06/07/2023","13.65","13.68","13.73","13.64","2.63M","0.29%"
"06/06/2023","13.61","13.55","13.64","13.52","1.82M","0.00%"
"06/05/2023","13.61","13.69","13.70","13.60","1.98M","-0.15%"
"06/02/2023","13.63","13.60","13.64","13.52","4.26M","1.49%"
"06/01/2023","13.43","13.28","13.52","13.28","2.41M","1.51%"
"05/31/2023","13.23","13.27","13.36","13.21","1.92M","-1.05%"
"05/30/2023","13.37","13.48","13.48","13.32","2.52M","-2.41%"
"05/26/2023","13.70","13.64","13.70","13.61","3.46M","1.63%"
"05/25/2023","13.48","13.54","13.57","13.40","5.30M","-1.61%"
"05/24/2023","13.70","13.75","13.79","13.62","3.10M","0.15%"
"05/23/2023","13.68","13.66","13.73","13.64","1.51M","0.44%"
"05/22/2023","13.62","13.57","13.66","13.56","1.45M","0.00%"
"05/19/2023","13.62","13.75","13.77","13.58","3.12M","-0.15%"
"05/18/2023","13.64","13.62","13.67","13.59","2.45M","-1.02%"
"05/17/2023","13.78","13.74","13.81","13.62","1.83M","1.25%"
"05/16/2023","13.61","13.72","13.77","13.59","2.46M","-1.02%"
"05/15/2023","13.75","13.68","13.80","13.66","1.79M","1.18%"
"05/12/2023","13.59","13.70","13.74","13.56","1.58M","-0.66%"
"05/11/2023","13.68","13.76","13.78","13.64","2.78M","-1.87%"
"05/10/2023","13.94","13.95","14.00","13.85","1.62M","-0.29%"
"05/09/2023","13.98","13.92","14.01","13.80","2.55M","0.14%"
"05/08/2023","13.96","14.00","14.05","13.94","1.81M","0.65%"
"05/05/2023","13.87","13.71","13.88","13.70","2.85M","2.29%"
"05/04/2023","13.56","13.51","13.66","13.47","4.79M","0.44%"
"05/03/2023","13.50","13.53","13.58","13.48","2.23M","-1.46%"
"05/02/2023","13.70","13.90","13.92","13.66","6.56M","-2.42%"
"05/01/2023","14.04","14.08","14.13","13.93","4.69M","-0.78%"
"04/28/2023","14.15","13.96","14.15","13.94","2.76M","1.07%"
"04/27/2023","14.00","13.94","14.04","13.91","3.96M","0.21%"
"04/26/2023","13.97","14.17","14.20","13.94","7.69M","-1.62%"
"04/25/2023","14.20","14.27","14.28","14.11","5.03M","-1.18%"
"04/24/2023","14.37","14.24","14.42","14.23","8.28M","0.63%"
"04/21/2023","14.28","14.34","14.36","14.23","1.25M","-0.21%"
"04/20/2023","14.31","14.27","14.36","14.27","1.70M","-0.97%"
"04/19/2023","14.45","14.48","14.54","14.41","1.28M","-1.37%"
"04/18/2023","14.65","14.64","14.70","14.56","1.64M","0.27%"
"04/17/2023","14.61","14.63","14.65","14.53","2.80M","-0.34%"
"04/14/2023","14.66","14.64","14.72","14.56","3.59M","0.07%"
"04/13/2023","14.65","14.72","14.74","14.62","9.20M","0.00%"
"04/12/2023","14.65","14.61","14.67","14.57","2.49M","0.62%"
"04/11/2023","14.56","14.46","14.57","14.45","2.61M","0.55%"
"04/10/2023","14.48","14.44","14.50","14.41","4.47M","0.21%"
"04/06/2023","14.45","14.48","14.50","14.41","2.35M","-0.34%"
"04/05/2023","14.50","14.45","14.52","14.40","1.86M","0.35%"
"04/04/2023","14.45","14.48","14.51","14.35","2.21M","-0.07%"
"04/03/2023","14.46","14.49","14.58","14.43","14.14M","1.69%"
"03/31/2023","14.22","14.09","14.23","14.09","2.63M","0.92%"
"03/30/2023","14.09","14.05","14.10","13.99","1.83M","0.64%"
"03/29/2023","14.00","14.11","14.16","13.98","1.44M","-0.50%"
"03/28/2023","14.07","14.01","14.14","13.99","7.06M","0.43%"
"03/27/2023","14.01","13.79","14.03","13.77","1.95M","1.89%"
"03/24/2023","13.75","13.71","13.78","13.64","2.54M","0.36%"
"03/23/2023","13.70","13.81","13.90","13.69","2.04M","-0.29%"
"03/22/2023","13.74","13.71","13.82","13.65","2.23M","0.37%"
"03/21/2023","13.69","13.67","13.73","13.59","3.09M","0.37%"
"03/20/2023","13.64","13.58","13.65","13.50","2.39M","0.44%"
"03/17/2023","13.58","13.66","13.68","13.48","4.79M","-0.37%"
"03/16/2023","13.63","13.44","13.68","13.38","6.32M","0.37%"
"03/15/2023","13.58","13.61","13.70","13.39","7.07M","-2.30%"
"03/14/2023","13.90","13.99","14.12","13.86","5.94M","-1.28%"
"03/13/2023","14.08","13.94","14.23","13.92","8.78M","-0.64%"
"03/10/2023","14.17","14.05","14.20","14.04","2.65M","1.14%"
"03/09/2023","14.01","14.28","14.30","14.00","1.96M","-1.27%"
"03/08/2023","14.19","14.20","14.27","14.16","2.29M","-0.56%"
"03/07/2023","14.27","14.49","14.51","14.26","2.25M","-2.26%"
"03/06/2023","14.60","14.48","14.60","14.45","2.31M","-0.48%"
"03/03/2023","14.67","14.38","14.67","14.38","2.92M","1.66%"
"03/02/2023","14.43","14.44","14.48","14.35","2.74M","-0.35%"
"03/01/2023","14.48","14.32","14.49","14.29","2.68M","1.76%"
"02/28/2023","14.23","14.29","14.29","14.21","11.10M","0.42%"
"02/27/2023","14.17","14.21","14.25","14.11","1.83M","0.14%"
"02/24/2023","14.15","14.05","14.17","13.96","2.88M","-0.42%"
"02/23/2023","14.21","14.21","14.26","14.12","1.98M","0.71%"
"02/22/2023","14.11","14.26","14.29","14.11","2.11M","-1.40%"
"02/21/2023","14.31","14.37","14.43","14.27","1.90M","0.21%"
"02/17/2023","14.28","14.32","14.32","14.15","3.75M","-0.83%"
"02/16/2023","14.40","14.50","14.50","14.39","3.71M","-0.28%"
"02/15/2023","14.44","14.57","14.57","14.36","1.76M","-1.30%"
"02/14/2023","14.63","14.49","14.67","14.45","1.30M","0.34%"
"02/13/2023","14.58","14.51","14.64","14.47","1.86M","-0.07%"
"02/10/2023","14.59","14.48","14.60","14.48","2.28M","1.46%"
"02/09/2023","14.38","14.45","14.48","14.33","17.77M","-0.96%"
"02/08/2023","14.52","14.50","14.53","14.37","2.16M","0.21%"
"02/07/2023","14.49","14.24","14.49","14.23","2.80M","1.97%"
"02/06/2023","14.21","14.19","14.23","13.98","3.51M","0.35%"
"02/03/2023","14.16","14.41","14.57","14.16","5.51M","-2.34%"
"02/02/2023","14.50","14.66","14.68","14.49","6.21M","-1.02%"
"02/01/2023","14.65","14.81","14.84","14.52","6.70M","-2.01%"
"01/31/2023","14.95","14.69","14.95","14.68","6.36M","1.77%"
"01/30/2023","14.69","14.80","14.92","14.69","5.33M","-1.41%"
"01/27/2023","14.90","15.10","15.12","14.88","2.80M","-1.32%"
"01/26/2023","15.10","15.10","15.13","14.99","2.26M","0.53%"
"01/25/2023","15.02","15.03","15.08","14.95","3.49M","-0.40%"
"01/24/2023","15.08","15.17","15.19","15.03","4.02M","-0.59%"
"01/23/2023","15.17","15.13","15.19","15.10","3.46M","0.53%"
"01/20/2023","15.09","15.08","15.13","14.99","4.21M","0.53%"
"01/19/2023","15.01","14.94","15.06","14.90","3.62M","1.08%"
"01/18/2023","14.85","15.13","15.15","14.85","3.47M","-1.13%"
"01/17/2023","15.02","14.98","15.03","14.88","7.18M","0.67%"
"01/13/2023","14.92","14.79","14.93","14.75","3.93M","1.02%"
"01/12/2023","14.77","14.73","14.83","14.66","8.21M","1.03%"
"01/11/2023","14.62","14.55","14.65","14.45","11.29M","1.81%"
"01/10/2023","14.36","14.40","14.44","14.28","3.68M","0.07%"
"01/09/2023","14.35","14.38","14.50","14.32","5.91M","1.41%"
"01/06/2023","14.15","14.18","14.24","14.08","4.23M","0.64%"
"01/05/2023","14.06","14.08","14.15","14.00","3.31M","-0.42%"
"01/04/2023","14.12","14.18","14.23","14.06","5.15M","-2.01%"
"01/03/2023","14.41","14.60","14.69","14.35","9.77M","-2.50%"
"12/30/2022","14.78","14.58","14.78","14.56","4.97M","1.03%"
