"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","91.68","91.43","91.68","91.43","7.77M","-0.15%"
"10/01/2023","91.82","91.45","91.83","91.44","16.72M","0.00%"
"09/01/2023","91.82","91.47","91.83","91.46","161.88M","-0.04%"
"08/01/2023","91.86","91.43","91.86","91.42","151.37M","0.07%"
"07/01/2023","91.80","91.46","91.81","91.46","109.34M","-0.02%"
"06/01/2023","91.82","91.45","91.83","91.44","140.50M","0.05%"
"05/01/2023","91.77","91.44","91.78","91.41","146.83M","-0.01%"
"04/01/2023","91.78","91.48","91.79","91.47","134.32M","-0.04%"
"03/01/2023","91.82","91.47","91.85","91.46","228.49M","0.12%"
"02/01/2023","91.71","91.42","91.71","91.40","145.84M","-0.02%"
"01/01/2023","91.73","91.48","91.74","91.47","139.45M","0.28%"
"12/01/2022","91.47","91.43","91.60","91.33","142.22M","-0.22%"
"11/01/2022","91.67","91.41","91.67","91.39","125.05M","0.09%"
"10/01/2022","91.59","91.45","91.61","91.42","133.21M","-0.01%"
"09/01/2022","91.60","91.43","91.60","91.42","133.69M","0.05%"
"08/01/2022","91.55","91.37","91.55","91.37","138.79M","0.09%"
"07/01/2022","91.47","91.43","91.48","91.40","138.23M","-0.02%"
"06/01/2022","91.49","91.44","91.49","91.41","127.56M","0.04%"
"05/01/2022","91.45","91.44","91.48","91.42","123.25M","0.03%"
"04/01/2022","91.42","91.42","91.44","91.41","76.05M","-0.01%"
"03/01/2022","91.43","91.42","91.43","91.40","90.89M","0.02%"
"02/01/2022","91.41","91.41","91.43","91.40","90.52M","-0.02%"
"01/01/2022","91.43","91.43","91.43","91.41","74.43M","0.00%"
"12/01/2021","91.43","91.44","91.44","91.42","25.72M","0.00%"
"11/01/2021","91.43","91.44","91.45","91.43","21.17M","-0.02%"
"10/01/2021","91.45","91.46","91.46","91.43","18.01M","-0.01%"
"09/01/2021","91.46","91.46","91.47","91.44","31.24M","0.01%"
"08/01/2021","91.45","91.46","91.47","91.45","20.43M","-0.01%"
"07/01/2021","91.46","91.47","91.48","91.46","19.78M","-0.01%"
"06/01/2021","91.47","91.48","91.49","91.47","19.36M","-0.02%"
"05/01/2021","91.49","91.49","91.50","91.48","26.96M","-0.01%"
"04/01/2021","91.50","91.51","91.51","91.49","25.68M","0.00%"
"03/01/2021","91.50","91.51","91.51","91.50","24.59M","-0.01%"
"02/01/2021","91.51","91.52","91.53","91.50","22.02M","-0.01%"
"01/01/2021","91.52","91.52","91.52","91.51","34.35M","0.00%"
"12/01/2020","91.52","91.51","91.53","91.51","31.51M","0.00%"
"11/01/2020","91.52","91.52","91.53","91.52","30.89M","-0.01%"
"10/01/2020","91.53","91.52","91.54","91.51","34.34M","0.01%"
"09/01/2020","91.52","91.54","91.54","91.52","42.02M","-0.02%"
"08/01/2020","91.54","91.53","91.55","91.53","35.95M","0.00%"
"07/01/2020","91.54","91.53","91.54","91.52","45.40M","0.01%"
"06/01/2020","91.53","91.53","91.54","91.51","90.23M","0.00%"
"05/01/2020","91.53","91.55","91.55","91.53","68.87M","-0.03%"
"04/01/2020","91.56","91.58","91.58","91.53","91.96M","-0.08%"
"03/01/2020","91.63","91.46","95.96","91.46","208.31M","0.10%"
