"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","14.37","14.84","14.88","14.15","4.43M","-2.11%"
"10/01/2023","14.68","14.95","15.22","14.20","105.92M","-1.81%"
"09/01/2023","14.95","14.89","15.35","14.85","84.65M","1.36%"
"08/01/2023","14.75","14.71","14.80","14.33","64.66M","-0.27%"
"07/01/2023","14.79","13.65","14.86","13.52","56.73M","8.71%"
"06/01/2023","13.60","13.28","14.17","13.28","68.03M","2.83%"
"05/01/2023","13.23","14.08","14.13","13.21","62.36M","-6.50%"
"04/01/2023","14.15","14.49","14.74","13.91","79.30M","-0.49%"
"03/01/2023","14.22","14.32","14.67","13.38","79.94M","-0.07%"
"02/01/2023","14.23","14.81","14.84","13.96","81.15M","-4.82%"
"01/01/2023","14.95","14.60","15.19","14.00","101.70M","1.15%"
"12/01/2022","14.78","17.36","17.42","14.27","135.49M","-14.17%"
"11/01/2022","17.22","17.27","18.04","16.46","86.10M","1.29%"
"10/01/2022","17.00","16.59","17.77","16.42","112.45M","5.07%"
"09/01/2022","16.18","17.11","17.48","15.84","121.28M","-6.85%"
"08/01/2022","17.37","17.20","18.27","16.61","115.11M","-1.42%"
"07/01/2022","17.62","18.29","18.32","16.34","146.66M","-2.33%"
"06/01/2022","18.04","19.72","20.76","17.99","133.50M","-7.53%"
"05/01/2022","19.51","18.46","20.02","18.18","136.09M","4.61%"
"04/01/2022","18.65","17.67","19.47","17.54","135.59M","5.73%"
"03/01/2022","17.64","16.61","19.27","16.45","271.24M","9.02%"
"02/01/2022","16.18","15.09","16.77","15.09","147.14M","6.73%"
"01/01/2022","15.16","14.01","15.23","14.01","188.14M","7.82%"
"12/01/2021","14.06","20.52","20.60","13.22","194.26M","-30.64%"
"11/01/2021","20.27","22.27","22.37","20.01","90.74M","-8.40%"
"10/01/2021","22.13","21.10","22.73","21.03","87.75M","5.13%"
"09/01/2021","21.05","19.84","21.25","19.80","65.96M","5.09%"
"08/01/2021","20.03","20.37","20.43","18.68","65.99M","-1.67%"
"07/01/2021","20.37","20.42","20.49","18.99","96.61M","1.39%"
"06/01/2021","20.09","19.74","20.18","19.13","66.22M","3.77%"
"05/01/2021","19.36","18.82","19.74","18.66","115.79M","3.92%"
"04/01/2021","18.63","17.48","18.89","17.10","61.12M","8.09%"
"03/01/2021","17.24","17.45","18.18","16.91","80.20M","-0.83%"
"02/01/2021","17.38","15.98","17.89","15.84","68.85M","10.35%"
"01/01/2021","15.75","15.41","16.12","15.17","52.30M","3.21%"
"12/01/2020","15.26","14.52","15.31","14.38","51.16M","5.24%"
"11/01/2020","14.50","13.20","14.67","13.20","48.79M","9.60%"
"10/01/2020","13.23","13.59","14.05","13.03","41.65M","-3.22%"
"09/01/2020","13.67","14.29","14.34","13.35","32.66M","-3.80%"
"08/01/2020","14.21","13.63","14.27","13.59","55.96M","4.79%"
"07/01/2020","13.56","12.95","13.69","12.89","39.20M","4.79%"
"06/01/2020","12.94","12.29","13.15","12.26","27.26M","4.86%"
"05/01/2020","12.34","11.39","12.42","11.29","44.85M","7.49%"
"04/01/2020","11.48","11.64","12.66","11.15","74.59M","-2.88%"
"03/01/2020","11.82","14.26","14.66","11.08","107.11M","-16.47%"
"02/01/2020","14.15","15.04","15.59","13.97","24.29M","-6.48%"
"01/01/2020","15.13","16.57","16.91","15.08","35.51M","-8.64%"
"12/01/2019","16.56","15.94","16.76","15.79","20.19M","4.28%"
"11/01/2019","15.88","15.97","16.35","15.82","11.46M","-0.13%"
"10/01/2019","15.90","15.61","16.20","15.30","20.15M","1.79%"
"09/01/2019","15.62","15.25","16.54","15.23","20.78M","1.17%"
