"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","104.46","102.51","104.64","102.48","2.54M","1.61%"
"10/01/2023","102.80","103.24","103.85","101.74","5.22M","-0.89%"
"09/01/2023","103.72","105.69","105.70","103.09","45.17M","-2.22%"
"08/01/2023","106.07","106.56","106.91","104.57","67.49M","-1.02%"
"07/01/2023","107.16","107.25","107.83","105.59","65.47M","-0.43%"
"06/01/2023","107.62","108.04","108.23","107.01","67.65M","-0.63%"
"05/01/2023","108.30","109.35","110.47","107.42","76.97M","-1.71%"
"04/01/2023","110.18","110.38","111.26","109.18","67.89M","-0.06%"
"03/01/2023","110.25","106.88","110.51","106.20","110.74M","2.86%"
"02/01/2023","107.18","108.98","109.81","106.35","70.10M","-1.35%"
"01/01/2023","108.65","107.20","109.61","106.36","68.87M","2.08%"
"12/01/2022","106.44","108.48","110.20","106.28","76.74M","-1.75%"
"11/01/2022","108.34","107.06","108.37","104.91","53.05M","1.83%"
"10/01/2022","106.39","105.61","107.05","104.76","95.41M","1.42%"
"09/01/2022","104.90","111.84","112.33","104.63","73.67M","-7.91%"
"08/01/2022","113.91","117.04","117.32","113.72","64.46M","-3.65%"
"07/01/2022","118.23","114.79","118.48","113.34","83.60M","3.79%"
"06/01/2022","113.91","117.60","118.36","113.01","108.13M","-4.23%"
"05/01/2022","118.94","119.55","120.04","117.02","116.92M","-1.76%"
"04/01/2022","121.07","122.75","123.57","120.43","104.19M","-2.81%"
"03/01/2022","124.57","127.29","129.48","124.29","111.46M","-2.05%"
"02/01/2022","127.18","125.89","127.25","122.92","162.77M","0.51%"
"01/01/2022","126.54","128.68","128.71","125.05","157.18M","-2.06%"
"12/01/2021","129.20","129.15","129.99","127.57","86.30M","-0.35%"
"11/01/2021","129.66","128.70","131.37","127.86","77.75M","0.77%"
"10/01/2021","128.67","127.57","130.22","127.48","96.21M","0.77%"
"09/01/2021","127.69","128.48","129.53","127.40","72.52M","-1.47%"
"08/01/2021","129.59","129.88","130.22","128.64","77.26M","-0.76%"
"07/01/2021","130.58","127.35","130.65","127.16","94.13M","2.01%"
"06/01/2021","128.01","127.17","128.24","126.45","70.66M","0.19%"
"05/01/2021","127.77","126.56","128.29","126.51","66.28M","0.61%"
"04/01/2021","126.99","125.38","127.15","124.99","45.46M","1.19%"
"03/01/2021","125.50","125.60","126.27","124.54","69.28M","-0.26%"
"02/01/2021","125.83","127.85","128.06","123.51","61.31M","-1.69%"
"01/01/2021","127.99","127.49","128.27","126.36","52.83M","0.27%"
"12/01/2020","127.65","126.12","127.68","125.68","46.47M","0.97%"
"11/01/2020","126.42","125.25","126.50","124.32","52.41M","0.95%"
"10/01/2020","125.23","126.07","126.50","125.17","53.07M","-1.00%"
"09/01/2020","126.50","127.04","127.28","126.07","52.69M","-0.38%"
"08/01/2020","126.98","125.85","127.15","125.29","43.57M","0.89%"
"07/01/2020","125.86","122.86","125.92","122.72","30.03M","2.33%"
"06/01/2020","123.00","121.83","123.36","120.25","34.74M","0.99%"
"05/01/2020","121.80","121.05","121.98","120.61","30.32M","0.40%"
"04/01/2020","121.31","118.76","122.65","118.32","58.76M","2.87%"
"03/01/2020","117.92","120.26","123.16","107.37","118.94M","-1.76%"
"02/01/2020","120.03","118.56","120.49","117.78","30.71M","0.81%"
"01/01/2020","119.06","116.93","119.10","116.59","31.08M","2.14%"
"12/01/2019","116.57","115.86","116.97","115.77","21.22M","0.16%"
"11/01/2019","116.38","116.09","116.89","115.39","26.33M","0.28%"
"10/01/2019","116.06","115.64","117.16","115.27","28.77M","-0.20%"
"09/01/2019","116.29","117.51","117.94","115.14","28.58M","-1.16%"
"08/01/2019","117.65","114.79","118.21","114.72","27.55M","2.09%"
"07/01/2019","115.24","114.98","115.56","114.25","22.30M","-0.22%"
"06/01/2019","115.49","114.73","115.97","113.96","27.72M","0.19%"
"05/01/2019","115.27","113.27","115.32","112.46","25.82M","1.72%"
"04/01/2019","113.32","112.91","113.45","112.30","37.31M","0.22%"
"03/01/2019","113.07","110.82","113.30","110.54","23.69M","1.98%"
"02/01/2019","110.88","110.99","111.41","110.37","19.43M","-0.17%"
"01/01/2019","111.07","109.57","111.11","109.50","26.54M","1.42%"
"12/01/2018","109.51","109.13","109.92","108.90","31.24M","0.22%"
"11/01/2018","109.27","108.61","109.38","107.53","25.96M","0.40%"
"10/01/2018","108.84","110.41","110.48","108.82","44.27M","-1.61%"
"09/01/2018","110.62","111.58","111.65","110.26","31.81M","-1.31%"
"08/01/2018","112.09","111.11","112.51","111.01","26.55M","0.22%"
"07/01/2018","111.84","112.57","113.04","111.55","21.98M","-0.91%"
"06/01/2018","112.87","111.92","113.04","111.48","27.51M","0.35%"
"05/01/2018","112.48","111.98","112.85","111.04","23.92M","-0.12%"
"04/01/2018","112.61","112.80","113.22","111.76","22.53M","-0.39%"
"03/01/2018","113.05","111.98","113.17","111.77","32.44M","1.01%"
"02/01/2018","111.92","113.10","113.10","111.28","35.09M","-1.05%"
"01/01/2018","113.11","113.98","114.00","112.75","37.85M","-0.85%"
