Date,QQQ,VWO,VEA,BND
2007-07-27,47.79,46.15,47.17,74.65
2007-07-30,48.35,47.92,47.96,74.58
2007-07-31,47.33,47.25,47.9,74.73
2007-08-01,47.7,46.5,48.1,74.39
2007-08-02,48.14,46.99,47.96,74.52
2007-08-03,47.22,45.1,47.17,74.77
2007-08-06,47.77,46.25,47.89,74.56
2007-08-07,48.11,46.42,47.96,74.55
2007-08-08,48.64,47.7,48.68,74.36
2007-08-09,47.51,45.72,47.22,74.53
2007-08-10,47.08,45.23,46.59,74.39
2007-08-13,47.4,45.5,46.67,74.46
2007-08-14,46.6,44.08,46.07,74.64
2007-08-15,45.71,41.91,44.98,74.65
2007-08-16,45.26,41.2,44.77,74.64
2007-08-17,46.12,42.78,45.4,74.87
2007-08-20,46.34,43.02,45.46,74.71
2007-08-21,46.83,42.7,45.45,74.97
2007-08-22,47.46,44.43,46.59,74.97
2007-08-23,47.33,44.8,46.79,74.97
2007-08-24,48.0,45.81,47.54,75.04
2007-08-27,47.68,46.02,47.07,75.31
2007-08-28,46.55,44.2,45.92,75.52
2007-08-29,47.88,46.29,47.14,75.35
2007-08-30,48.13,45.83,46.8,75.48
2007-08-31,48.67,47.24,47.86,75.53
2007-09-04,49.47,47.91,48.09,75.19
2007-09-05,48.98,46.8,47.26,75.48
2007-09-06,48.94,47.49,47.54,75.34
2007-09-07,48.03,46.55,46.88,75.81
2007-09-10,48.0,46.23,46.69,76.03
2007-09-11,48.73,47.56,47.53,75.85
2007-09-12,48.74,47.42,47.49,75.73
2007-09-13,48.98,47.89,47.75,75.54
2007-09-14,49.02,47.96,47.53,75.55
2007-09-17,48.61,47.52,46.86,75.61
2007-09-18,49.83,49.75,48.35,75.82
2007-09-19,49.96,49.86,48.86,75.7
2007-09-20,49.82,49.53,48.76,75.16
2007-09-21,50.15,50.38,49.11,75.48
2007-09-24,50.38,51.0,49.06,75.43
2007-09-25,50.86,51.05,49.3,75.48
2007-09-26,51.11,51.43,49.48,75.5
2007-09-27,51.37,52.3,50.07,75.66
2007-09-28,51.2,51.89,50.14,75.69
2007-10-01,51.78,53.88,50.86,75.36
2007-10-02,51.79,53.7,50.7,75.63
2007-10-03,51.44,52.88,50.42,75.59
2007-10-04,51.56,53.35,50.64,75.67
2007-10-05,52.6,54.8,51.13,75.35
2007-10-08,52.93,54.3,50.64,75.57
2007-10-09,53.16,54.88,51.27,75.32
2007-10-10,53.29,55.25,51.12,75.4
2007-10-11,52.44,54.99,51.37,75.47
2007-10-12,53.31,55.83,51.52,75.35
2007-10-15,52.9,55.45,51.08,75.29
2007-10-16,52.65,54.23,50.38,75.45
2007-10-17,53.33,55.83,50.9,75.83
2007-10-18,53.56,56.07,51.02,75.93
2007-10-19,52.22,53.3,49.95,76.29
2007-10-22,52.85,54.0,49.78,76.24
2007-10-23,53.96,55.3,50.6,76.22
2007-10-24,53.55,54.8,50.44,76.52
2007-10-25,52.83,55.45,50.62,76.46
2007-10-26,53.71,57.57,51.57,76.35
2007-10-29,53.94,58.55,52.04,76.36
2007-10-30,54.04,57.48,51.66,76.38
2007-10-31,54.8,58.64,52.36,76.1
2007-11-01,53.78,56.58,51.05,76.25
2007-11-02,54.19,56.88,51.35,76.34
2007-11-05,53.85,55.5,50.76,76.12
2007-11-06,54.45,57.2,51.48,76.0
2007-11-07,53.13,55.02,50.49,76.11
2007-11-08,51.52,55.52,50.83,76.2
2007-11-09,49.79,54.32,49.64,76.3
2007-11-12,48.53,51.41,48.85,76.47
2007-11-13,50.53,54.9,50.29,76.24
2007-11-14,49.88,55.15,50.11,76.24
2007-11-15,49.61,53.9,49.2,76.51
2007-11-16,50.07,53.99,49.39,76.48
2007-11-19,49.49,52.5,48.15,76.7
2007-11-20,49.69,53.2,49.14,76.53
2007-11-21,49.11,50.7,48.14,77.0
2007-11-23,49.63,51.63,49.18,76.85
2007-11-26,48.78,49.15,48.43,77.45
2007-11-27,49.75,51.55,49.25,77.04
2007-11-28,51.27,54.1,50.53,76.96
2007-11-29,51.49,53.65,50.21,77.3
2007-11-30,51.1,53.64,50.39,77.3
2007-12-03,50.67,53.76,50.2,77.37
2007-12-04,50.46,53.66,49.85,77.33
2007-12-05,51.36,55.67,50.55,77.16
2007-12-06,52.1,56.17,51.02,76.76
2007-12-07,52.11,55.84,50.82,76.51
2007-12-10,52.32,55.8,51.31,76.37
2007-12-11,51.11,53.48,50.06,76.88
